type,danger,url,thoughts,domain,title
мошенничество,10,https://www.electrobot.nl/nl/fbuilder/index/active/referrer/aHR0cHM6Ly93d3cuZXVybzI0Ny1rb3JlYS5jb20/,"Сайт euro247-korea.com содержит текст на корейском языке, который, судя по переводу Google Translate, рекламирует различные онлайн-казино, включая Euro247, Euro88, Olbet, Pinnacle и 10Bet.  Ссылка на сайт содержит название компании, но сам сайт не имеет профессионального дизайна и выглядит подозрительно. Сайт предлагает услуги по регистрации и привлечению в онлайн-казино. Это является явным признаком мошенничества, так как такие сайты часто используются для обмана пользователей и вовлечения их в азартные игры с целью получения прибыли.  На сайте нет явного контента 18+, но его тематика связана с азартными играми, что может быть опасно для некоторых пользователей. ",electrobot.nl,
мошенничество,10,https://de-vinted.bneb.shop/get/89GB96WP84X02/,"Сайт использует домен `bneb.shop`, который не связан с Vinted.  URL содержит подозрительные фрагменты (`get/89GB96WP84X02/`), что типично для фишинговых сайтов. Сайт имитирует страницу подтверждения покупки на Vinted, заявляя о покупке товара и предлагая получить деньги. Это классический признак мошенничества – фишинг.  На сайте отсутствует контент 18+.",bneb.shop,Michael Kors женские часы | Винтед
мошенничество,10,https://entarabi.com/2023/10/10-%D9%85%D8%B5%D8%A7%D8%AF%D8%B1-%D9%84%D8%AA%D9%85%D9%88%D9%8A%D9%84-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%B5%D8%BA%D9%8A%D8%B1%D8%A9-%D9%84%D8%B9%D8%A7%D9%85-2023/,"Сайт `vlnted-es.bneb.shop/get/52WU37ES11T58/`  выглядит как мошеннический.  URL-адрес указывает на подозрительный поддомен (`bneb.shop`) вместо ожидаемого домена Vinted.  На скриншоте отображается сообщение о том, что товар куплен, и покупатель уже заплатил.  Далее предлагается получить деньги. Это классический признак фишингового сайта, цель которого – обман продавцов. Сайт имитирует интерфейс Vinted, но это не легитимная страница.  Контента 18+ нет.

",entarabi.com,10 источников финансирования малых проектов на 2023 год
мошенничество,10,https://d2fp4msr64qj75.cloudfront.net/rich1234/ryh6tGH3YG,"Сайт `de-vinted.bneb.shop/get/57RJ66YE66087/` выглядит как фишинговый сайт, маскирующийся под Vinted.  URL-адрес содержит подозрительный поддомен `bneb.shop`, а не домен Vinted.  Сообщения на сайте запрашивают банковские реквизиты под предлогом получения денег за уже оплаченный товар — классический признак мошенничества.  На сайте отсутствует контент 18+.",cloudfront.net,
18+,10,https://www.shemalefavoritelist.com/movies/98.html,"Сайт содержит предупреждение о том, что доступ к нему разрешен только лицам старше 18 лет.  URL-адрес  `https://www.shemalefavoritelist.com/movies/98.html` и заголовок  ""Щупальца порно видео – Список избранных транссексуалов"" указывают на порнографическое содержание.  Сам сайт не демонстрирует явных признаков мошенничества (всплывающие окна, подозрительные запросы на оплату и т.д.), однако тематика сайта однозначно относится к категории 18+.",shemalefavoritelist.com,Щупальца порно видео – Список избранных транссексуалов
18+,10,https://www.girlontopporn.com/post/91.html,"URL адрес содержит слова ""girl"", ""top"", ""porn"", что явно указывает на порнографическое содержание.  Название сайта также подтверждает это.  Сайт использует обманчивые названия, чтобы привлечь пользователей.  Он не маскируется под легитимный сервис, а открыто демонстрирует свой характер.  Потенциальная опасность заключается в распространении нежелательного контента и вредоносных программ, которые могут быть скрыты на сайте. ",girlontopporn.com,проститутка порно видео – Girl On Top Porn
18+,9,http://classicalmusicmp3freedownload.com/ja/index.php?title=Nine_Things_That_Your_Parent_Taught_You_About_Max_Masturbator,"Сайт содержит ссылку на статью о секс-игрушке, что указывает на наличие контента 18+.  URL-адрес выглядит подозрительно: он сочетает в себе тематику классической музыки (classicalmusicmp3freedownload.com) и статью о секс-игрушке. Это может указывать на попытку привлечь пользователей с помощью обманчивого заголовка.  Сам домен не является известным и легитимным.  Также обращает на себя внимание наличие GET-параметров в URL, которые могут использоваться для скрытия истинного назначения страницы.  Наличие контента для взрослых повышает риск мошенничества, так как подобные сайты часто используются для распространения вредоносного ПО или фишинга.",classicalmusicmp3freedownload.com,"Девять вещей, которым ваши родители научили вас о Max Masturbator - Классическая музыка скачать бесплатно mp3 Срок действия авторских прав истек, общественное достояние, исторический источник звука"
мошенничество,9,https://bad-credit-loans-7332618.fyi/?ref=facebook-placement&headline=Pensioenlening&fbid=1111906536957026&fbland=View+Content&fbserp=Search&fbclick=Purchase&sub_id=ad.id_campaign.id&compkey=Pensioenlening&forcekeyA=Pensioenplan&forcekeyB=Leningzonderkredietscore&forcekeyC=Dringendepersoonlijkelening&forcekeyD=Directegeldlening&forcekeyE=Nugeldlenen&forcekeyF=Snellegeldlening&forcekeyF=Schrijfdeleningonmiddellijkovernaaruwrekening&rskey=Pensioenlening,"URL-адрес `https://bad-credit-loans-7332618.fyi/?ref=facebook-placement&headline=Pensioenlening&fbid=1111906536957026&fbland=View+Content&fbserp=Search&fbclick=Purchase&sub_id=ad.id_campaign.id&compkey=Pensioenlening&forcekeyA=Pensioenplan&forcekeyB=Leningzonderkredietscore&forcekeyC=Dringendepersoonlijkelening&forcekeyD=Directegeldlening&forcekeyE=Nugeldlenen&forcekeyF=Snellegeldlening&forcekeyF=Schrijfdeleningonmiddellijkovernaaruwrekening&rskey=Pensioenlening`  выглядит подозрительно.  Домен `.fyi` часто используется для мошеннических сайтов.  Длинный URL с большим количеством параметров также является признаком потенциального мошенничества.  Название сайта ""плохие-кредитные-кредиты-7332618.fyi""  указывает на то, что сайт, вероятно, предлагает займы с невыгодными условиями или является мошенническим.  На скриншоте отображаются предложения займов на русском и нидерландском языках, что может указывать на попытку охватить широкую аудиторию.  Отсутствует информация о компании, предоставляющей эти займы, что вызывает дополнительные подозрения. Сайт не содержит контента 18+.

",bad-credit-loans-7332618.fyi,плохие-кредитные-кредиты-7332618.fyi
мошенничество,9,https://valetinowiki.racing/wiki/11_Ways_To_Completely_Redesign_Your_Buy_A_Fake_UK_Licence,"URL адрес `https://valetinowiki.racing/wiki/11_Ways_To_Completely_Redesign_Your_Buy_A_Fake_UK_Licence` вызывает подозрение из-за использования поддомена `.racing` и части URL, указывающей на создание поддельных водительских удостоверений Великобритании (`Buy A Fake UK Licence`).  Название сайта (""Valentino Fans"") не соответствует тематике URL.  Это сильный признак мошеннического сайта, предлагающего незаконные услуги. Сайт, скорее всего, предназначен для продажи поддельных документов.  Контент 18+ отсутствует.

",valetinowiki.racing,11 способов полностью изменить дизайн вашего британского водительского удостоверения Buy A Fake UK - Valentino Fans
мошенничество,9,https://in30483764.jzfkw.net/,"URL адрес `https://in30483764.jzfkw.net/` выглядит подозрительно.  Он содержит длинную случайную последовательность цифр и букв (`in30483764.jzfkw.net`), что типично для фишинговых или мошеннических сайтов.  Название компании `Хэбэй Цинхао Новые Материальные Технологии Лтд.` не соответствует URL адресу.  Нет никаких известных легитимных сайтов с подобной структурой URL.  Сам предоставленный снимок экрана показывает совершенно другой сайт (`saudileaks.org`), который не имеет отношения к URL адресу из запроса.  На основе предоставленного URL я не могу определить, содержит ли сайт контент 18+ или является сервисом сокращения ссылок.  Однако, учитывая структуру URL, очень высока вероятность, что это мошеннический сайт.


",jzfkw.net,Хэбэй Цинхао Новые Материальные Технологии Лтд.
18+,9,https://keeganqgwnd.ttblogs.com/11839261/the-ultimate-guide-to-8-exciting-femdom-couple-games-for-a-thriving-marriage,"Сайт содержит ссылку на статью с заголовком ""Полное руководство по 8 захватывающим фемдом-играм для пар, способствующих счастливому браку"".  URL-адрес `https://keeganqgwnd.ttblogs.com/11839261/the-ultimate-guide-to-8-exciting-femdom-couple-games-for-a-thriving-marriage` выглядит подозрительно из-за наличия случайного поддомена `keeganqgwnd` в домене `ttblogs.com`.  Сам по себе `ttblogs.com` не является известным и легитимным доменом. Контент сайта имеет явную сексуальную направленность (18+). Нет никаких очевидных признаков мошенничества, таких как запросы на оплату или лотереи, но нетипичный URL-адрес и тематика сайта вызывают опасения.  Возможно, сайт создан для привлечения трафика на другие, потенциально мошеннические ресурсы.

",ttblogs.com,"Полное руководство по 8 захватывающим фемдом-играм для пар, способствующих счастливому браку"
мошенничество,8,http://service.megaworks.ai/board/bbs/board.php?bo_table=hwang_form&wr_id=1296336,"URL адрес `https://roxcasino-gamess.com/` похож на адрес легитимного сайта, но содержит подозрительное добавление  `-gamess`.  Это может указывать на попытку подделки известного бренда.  Название сайта также не внушает доверия.  Сам сайт (судя по предоставленному скриншоту) относится к онлайн-казино. Это один из основных признаков мошенничества, так как многие мошеннические сайты маскируются под онлайн-казино, чтобы обмануть игроков.  На сайте отсутствует явно выраженный контент 18+, но тематика казино может подразумевать наличие подобного контента на других его страницах.

",megaworks.ai,"Потребуются исходники для https://roxcasino-gamess.com/ > Дополнительное поле Сынмина, дополнительный тест | Центр психического здоровья Кванджу Донг-гу"
казино,8,https://event.stibee.com/v2/click/MTAwNDA4Lzk3OTE2OC8xNDQ2NC8/aHR0cHM6Ly9Xd3cuSGlnaHN0YWtlcy5jb20v,"Сайт highstakes.com/ru/ представляет собой онлайн-казино. На сайте предлагаются ставки на спорт, игры казино, слоты и другие азартные игры.  URL-адрес выглядит легитимным, но сам по себе не гарантирует безопасность.  Присутствие множества игр казино указывает на то, что сайт относится к категории азартных игр.  Контент сайта не содержит явной 18+ информации, но может содержать элементы, неподходящие для несовершеннолетних. ",stibee.com,
казино,8,https://slotsicure.com/,"Сайт slotsicure.com — это сайт онлайн-казино.  В URL-адресе нет ничего подозрительного, но название сайта явно указывает на его тематику.  На сайте присутствует реклама различных онлайн-казино и бонусных предложений.  Контент сайта не содержит явного контента 18+, но тематика сайта может быть интересна только совершеннолетним.  Сайт не запрашивает платежи напрямую, но может содержать ссылки на мошеннические ресурсы, связанные с онлайн-казино.",slotsicure.com,СЛОТ БЕЗОПАСНОСТЬ | КАЗИНО ADM
казино,8,https://alturl.link/menara188-ptr,"Сайт представляет собой платформу онлайн-казино Menara188. Название и дизайн сайта указывают на то, что это платформа для азартных игр. URL-адрес содержит имя домена, которое не вызывает подозрений, но сам сайт явно относится к азартным играм.  Сайт предлагает различные игры, такие как слоты, игры в реальном времени, спортивные ставки и т.д.  На сайте присутствует форма регистрации, требующая ввода личной информации.  Это указывает на потенциальный риск мошенничества, связанный с финансовыми операциями и кражей данных.  Контент сайта не содержит материалов 18+, но тематика сайта однозначно относится к азартным играм, что может быть нежелательно для некоторых пользователей.",alturl.link,
18+,8,https://ceo.wiki/index.php?title=Searching_For_Inspiration_Look_Up_Adult_Store,"URL адрес содержит поддомен `ceo.wiki`, что само по себе не вызывает подозрений, но указывает на то, что это не основной домен известной компании.  Заголовок страницы указывает на содержание для взрослых (""Поиск вдохновения Посмотрите магазин для взрослых"").  Текст на странице описывает компанию, торгующую товарами для взрослых. Сайт не выглядит как мошеннический в смысле выманивания денег или подделки под известные бренды, но он явно содержит контент 18+.",ceo.wiki,Поиск вдохновения Посмотрите магазин для взрослых -
мошенничество,8,https://black-loan-1573961.world/?ref=facebook-placement&headline=%D0%A1%D0%BF%D0%B5%D1%88%D0%B5%D0%BD%D0%B7%D0%B0%D0%B5%D0%BC%D0%BE%D1%82%D0%A7%D0%B5%D1%80%D0%B5%D0%BD%D1%81%D0%BF%D0%B8%D1%81%D1%8A%D0%BA%D0%94%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%B5%D0%BD%D0%B7%D0%B0%D0%B5%D0%BC&fbid=1111906536957026&fbland=View+Content&fbserp=Search&fbclick=Purchase&sub_id=ad.id_campaign.id&compkey=%D0%A1%D0%BF%D0%B5%D1%88%D0%B5%D0%BD%D0%B7%D0%B0%D0%B5%D0%BC%D0%BE%D1%82%D0%A7%D0%B5%D1%80%D0%B5%D0%BD%D1%81%D0%BF%D0%B8%D1%81%D1%8A%D0%BA%D0%94%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%B5%D0%BD%D0%B7%D0%B0%D0%B5%D0%BC&forcekeyA=%D0%98%D0%BC%D0%B0%D0%BC%D0%BD%D1%83%D0%B6%D0%B4%D0%B0%D0%BE%D1%82%D0%BF%D0%B0%D1%80%D0%B8%D1%81%D0%BF%D0%B5%D1%88%D0%BD%D0%BE%D0%B4%D0%BD%D0%B5%D1%81&forcekeyB=%D0%A7%D0%B5%D1%80%D0%B5%D0%BD%D1%81%D0%BF%D0%B8%D1%81%D1%8A%D0%BA%D0%97%D0%B0%D0%B5%D0%BC%D0%B8&forcekeyC=%D0%91%D1%8A%D1%80%D0%B7%D0%B8%D0%B7%D0%B0%D0%B5%D0%BC%D0%B8%D0%B7%D0%B0%D1%85%D0%BE%D1%80%D0%B0%D0%B2%D1%87%D0%B5%D1%80%D0%BD%D0%B8%D1%8F%D1%81%D0%BF%D0%B8%D1%81%D1%8A%D0%BA&forcekeyD=%D0%91%D1%8A%D1%80%D0%B7%D0%B7%D0%B0%D0%B5%D0%BC%D1%81%D0%B1%D1%8E%D0%BB%D0%B5%D1%82%D0%B8%D0%BD&forcekeyE=%D0%91%D1%8A%D1%80%D0%B7%D0%B7%D0%B0%D0%B5%D0%BC%D1%81%D0%B1%D1%8E%D0%BB%D0%B5%D1%82%D0%B8%D0%BD&forcekeyF=%D0%A1%D0%BF%D0%B5%D1%88%D0%B5%D0%BD%D0%B7%D0%B0%D0%B5%D0%BC%D0%BE%D1%82%D0%A7%D0%B5%D1%80%D0%B5%D0%BD%D1%81%D0%BF%D0%B8%D1%81%D1%8A%D0%BA%D0%94%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%B5%D0%BD%D0%B7%D0%B0%D0%B5%D0%BC&rskey=%D0%A1%D0%BF%D0%B5%D1%88%D0%B5%D0%BD%D0%B7%D0%B0%D0%B5%D0%BC%D0%BE%D1%82%D0%A7%D0%B5%D1%80%D0%B5%D0%BD%D1%81%D0%BF%D0%B8%D1%81%D1%8A%D0%BA%D0%94%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%B5%D0%BD%D0%B7%D0%B0%D0%B5%D0%BC,"Сайт `black-loan-1573961.world` выглядит подозрительно.  URL-адрес содержит  случайную последовательность цифр (`1573961`) в доменном имени, что характерно для мошеннических сайтов, маскирующихся под легитимные.  Название сайта переводится как ""черный кредит"", что само по себе вызывает опасения.  Наличие параметров в URL, таких как `ref=facebook-placement` и другие,  указывает на рекламную кампанию в Facebook, часто используемую мошенниками.  Сам сайт предлагает ""быстрые кредиты"", что может быть приманкой для жертв. Отсутствует информация о компании, предоставляющей эти кредиты.  Дизайн сайта примитивен и не внушает доверия.  Контента 18+ нет. ",black-loan-1573961.world,черный-кредит-1573961.world
мошенничество,8,https://bad-credit-loans-1984061.fyi/?ref=facebook-placement&headline=Z%C5%82%C3%B3%C5%BCwniosekoekspresLoan&fbid=1111906536957026&fbland=View+Content&fbserp=Search&fbclick=Purchase&sub_id=ad.id_campaign.id&compkey=Z%C5%82%C3%B3%C5%BCwniosekoekspresLoan&forcekeyA=Z%C5%82%C3%B3%C5%BCwniosekopo%C5%BCyczk%C4%99przezSMS&forcekeyB=Z%C5%82%C3%B3%C5%BCwniosekopo%C5%BCyczk%C4%99przezSMS24godziny&forcekeyC=Z%C5%82%C3%B3%C5%BCwniosekopo%C5%BCyczk%C4%99awaryjn%C4%85przezSMS&forcekeyD=Potrzebujeszawaryjnejgot%C3%B3wkidzisiaj&forcekeyE=Z%C5%82%C3%B3%C5%BCwniosekoawaryjn%C4%85po%C5%BCyczk%C4%99got%C3%B3wkow%C4%85ju%C5%BCdzi%C5%9B&forcekeyF=Z%C5%82%C3%B3%C5%BCwniosekonajlepsz%C4%85po%C5%BCyczk%C4%99osobist%C4%85&rskey=Z%C5%82%C3%B3%C5%BCwniosekoekspresLoan,"Сайт выглядит подозрительно. URL-адрес `bad-credit-loans-1984061.fyi` использует домен `.fyi`, который часто используется для мошеннических сайтов.  Доменное имя также содержит длинный набор случайных цифр, что не типично для легитимных финансовых учреждений.  Наличие множества параметров в URL (`ref`, `headline`, `fbid` и т.д.), особенно связанных с Facebook, предполагает рекламу через социальные сети, которая часто используется для распространения мошеннических схем.  Сам сайт представляет собой простую страницу с несколькими ссылками на что-то, связанное с кредитами, без каких-либо подробностей о компании или лицензировании.  Отсутствие явной информации об условиях кредитования, контактных данных, юридического адреса - также тревожные признаки.  Текст на кнопках ""Мфо Взаймы"", ""Если Обманул Брокер"", ""Кредит Он"" (возможно, опечатка или плохо переведенный текст)  наводит на подозрение, что сайт связан с нелегальными финансовыми услугами.  Контент не содержит материалов 18+.",bad-credit-loans-1984061.fyi,плохие-кредитные-кредиты-1984061.fyi
мошенничество,8,https://yogicentral.science/wiki/Arildsenflynn3623,"URL адрес  `https://yogicentral.science/wiki/Arildsenflynn3623` выглядит подозрительно.  Поддомен `yogicentral.science`  неизвестен и не ассоциируется с известными легитимными сайтами.  Название `Arildsenflynn3623`  в части URL  указывает на то, что это скорее всего  некий  пользовательский контент,  а не  официальная страница.  Заголовок  ""Arildsenflynn3623 - Центр йоги""  противоречив и  не внушает доверия.  Вероятно,  это  фейковый сайт,  созданный с целью обмана пользователей.  Контент  18+ отсутствует.  Сайт не является сервисом сокращения ссылок.

",yogicentral.science,Arildsenflynn3623 - Центр йоги
казино,8,https://gonggum63.werite.net/win-big-with-authentic-japanese-slot-machines,"Сайт рекламирует онлайн-слоты и выглядит как промо-страница казино.  URL-адрес `gonggum63.werite.net` содержит подозрительный поддомен `werite.net`, не связанный с известными легитимными платформами.  Название сайта и содержание страницы явно указывают на азартные игры.  Присутствует изображение, которое может быть расценено как 18+ в зависимости от интерпретации.  Сайт не маскируется под известные бренды, но его основная цель - привлечение пользователей к онлайн-казино, что само по себе является признаком потенциального мошенничества (например, скрытые комиссии, невыплаты выигрышей).",werite.net,Выигрывайте по-крупному с настоящими японскими игровыми автоматами — gonggum63
